b'4.7 km',b'4.2 (585 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9949\xe2\x82\xb9',"b'Near Tata Silk Farm, Jayanagar, Bengaluru\xc2\xb7\n\n\n\n\n\n\n4.7 km'"
b'8.2 km',b'4.3 (1062 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91611',"b'Near Big Bazar, Bannerghatta Road, Bangalore\xc2\xb7\n\n\n\n\n\n\n8.2 km'"
b'7.5 km',b'4.5 (653 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb91998',"b'Near HRBR Layout, Kalyan Nagar, Bengaluru\xc2\xb7\n\n\n\n\n\n\n7.5 km'"
b'7.0 km',b'3.9 (275 Ratings)\xc2\xb7Good',b'\xe2\x82\xb9931\xe2\x82\xb9',"b'Near Yeshwanthpur Railway Station, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.0 km'"
b'6.8 km',b'4.1 (200 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91395',"b'Near Kemp Fort Mall, Murugeshpalya, Bangalore\xc2\xb7\n\n\n\n\n\n\n6.8 km'"
b'8.1 km',b'3.5 (63 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91014',"b'Near Hosur Road, Rajiv Gandhi Nagar, Bangalore\xc2\xb7\n\n\n\n\n\n\n8.1 km'"
b'6.0 km',b'4.3 (291 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91226',"b'Near Manipal Hospital, Kodihalli, Bangalore\xc2\xb7\n\n\n\n\n\n\n6.0 km'"
b'4.0 km',b'4.6 (478 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb91914',"b'Near Malleshwaram Police Station, Srirampura, Bangalore\xc2\xb7\n\n\n\n\n\n\n4.0 km'"
b'7.7 km',b'4.3 (941 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91014',"b'Near Hennur Bellary Road, Kalyan Nagar, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.7 km'"
b'2.0 km',b'4.2 (237 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9700\xe2\x82\xb9',"b'Bangalore Urban, Bangalore\xc2\xb7\n\n\n\n\n\n\n2.0 km'"
b'7.9 km',b'3.7 (431 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91014',"b'Near Big Boys Cars, HRBR Layout, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.9 km'"
b'8.4 km',b'4.4 (324 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91486',"b'Near Itsy Bitsy, Sector 3, Bangalore\xc2\xb7\n\n\n\n\n\n\n8.4 km'"
b'7.2 km',b'4.3 (145 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91338',"b'Hebbal, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.2 km'"
b'2.6 km',b'3.9 (494 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91014',"b'Near Bank of Baroda ATM, Akkipete, Bangalore\xc2\xb7\n\n\n\n\n\n\n2.6 km'"
b'7.4 km',b'3.6 (511 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91216',"b'Near Mysore RD. Metro Station, FCI Layout, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.4 km'"
b'4.5 km',b'3.7 (453 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91004',"b'Near Forum Mall, Koramangala, Bangalore\xc2\xb7\n\n\n\n\n\n\n4.5 km'"
b'2.0 km',b'NEW',b'\xe2\x82\xb91014',"b'Near Urvashi Theatre, Sudhama Nagar, Bangalore\xc2\xb7\n\n\n\n\n\n\n2.0 km'"
b'7.4 km',b'4.7 (1337 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb91509',"b'Near NIAS, Mathikere Extension, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.4 km'"
b'6.1 km',b'4.3 (271 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91014',"b'Near The Forum Mall, BTM Layout, Bengaluru\xc2\xb7\n\n\n\n\n\n\n6.1 km'"
b'2.3 km',b'4.8 (106 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb91300',"b'Near Hatti Kappi, Yellappa Garden, Bangalore\xc2\xb7\n\n\n\n\n\n\n2.3 km'"
b'8.1 km',b'3.8 (338 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91735',"b'Near Lumbini Garden, Nagavara, Banglore\xc2\xb7\n\n\n\n\n\n\n8.1 km'"
b'5.4 km',b'3.7 (802 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91014',"b'Near Maruti Nagar, Btm Layout, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.4 km'"
b'6.2 km',b'3.8 (437 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91444',"b'Near CBI Office, Ganganagar, Bangalore\xc2\xb7\n\n\n\n\n\n\n6.2 km'"
b'2.3 km',b'4.3 (61 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9910\xe2\x82\xb9',"b'Near Kr Market Metro, Vaisakhi Buildings, Bangalore\xc2\xb7\n\n\n\n\n\n\n2.3 km'"
b'7.1 km',b'4.4 (672 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9903\xe2\x82\xb9',"b'Near Champion InfoMetrics Pvt Ltd, Sector 6, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.1 km'"
b'2.6 km',b'NEW',b'\xe2\x82\xb9952\xe2\x82\xb9',"b'bangalore 560027India, Bangalore\xc2\xb7\n\n\n\n\n\n\n2.6 km'"
b'8.3 km',b'4.1 (777 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91216',"b'Near Nagavara Junction, HBR Layout 5th Block, Bangalore\xc2\xb7\n\n\n\n\n\n\n8.3 km'"
b'6.1 km',b'4.3 (91 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91369',"b'Near Vijayanagar police station, MC Layout, Bangalore\xc2\xb7\n\n\n\n\n\n\n6.1 km'"
b'1.4 km',b'4.4 (548 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91014',"b'Near Shivajinagar Bus Stand, Tasker Town, Bangalore\xc2\xb7\n\n\n\n\n\n\n1.4 km'"
b'1.4 km',b'4.0 (329 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9987\xe2\x82\xb9',"b'Cubbonpet Main Road, Bangalore\xc2\xb7\n\n\n\n\n\n\n1.4 km'"
b'8.9 km',b'4.3 (196 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91593',"b'Near Vijayalakshmi Hospital, Kalyan Nagar, Bangalore\xc2\xb7\n\n\n\n\n\n\n8.9 km'"
b'7.6 km',b'4.1 (444 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9934\xe2\x82\xb9',"b'Near Kalyan Nagar Bus Stand, 1st stage, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.6 km'"
b'4.4 km',b'4.2 (58 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91216',"b'Karnataka, Bangalore\xc2\xb7\n\n\n\n\n\n\n4.4 km'"
b'6.3 km',b'NEW',b'\xe2\x82\xb91369',"b'Near S T Bed, Koramangala 1st Block, Bangalore\xc2\xb7\n\n\n\n\n\n\n6.3 km'"
b'7.2 km',b'4.6 (474 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb91882',"b'Mathikere, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.2 km'"
b'2.0 km',b'4.3 (402 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9954\xe2\x82\xb9',"b'Near Minerva Circle, JC Road, Bangalore\xc2\xb7\n\n\n\n\n\n\n2.0 km'"
b'3.6 km',b'NEW',b'\xe2\x82\xb91833',"b'MALLESHWARAM, Bangalore\xc2\xb7\n\n\n\n\n\n\n3.6 km'"
b'1.8 km',b'3.9 (125 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91216',"b'Near Freedom Park, Gandhinagar, Bangalore\xc2\xb7\n\n\n\n\n\n\n1.8 km'"
b'6.7 km',b'3.7 (313 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91014',"b'Near Bus Stand, Murugeshpalya, Bangalore\xc2\xb7\n\n\n\n\n\n\n6.7 km'"
b'7.9 km',b'NEW',b'\xe2\x82\xb91014',"b'India, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.9 km'"
b'8.5 km',b'NEW',b'\xe2\x82\xb9901\xe2\x82\xb9',"b'Near N R Colony, Sajjepalya, Bangalore\xc2\xb7\n\n\n\n\n\n\n8.5 km'"
b'7.1 km',b'3.6 (233 Ratings)\xc2\xb7Good',b'\xe2\x82\xb9814\xe2\x82\xb9',"b'Near Railway Hospital, Yeswanthpur, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.1 km'"
b'2.6 km',b'4.2 (39 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9805\xe2\x82\xb9',"b'Near City Library, Akkipete, Bangalore\xc2\xb7\n\n\n\n\n\n\n2.6 km'"
b'7.2 km',b'4.2 (31 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91653',"b'East Zone, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.2 km'"
b'5.6 km',b'4.7 (709 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb91964',"b'12TH MAIN RD,HAL 2ND STAGE ,INDIRANAGAR,BANGALORE\xc2\xb7\n\n\n\n\n\n\n5.6 km'"
b'6.8 km',b'4.2 (933 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91014',"b'Near Central Silk board, BTM Layout, Bangalore\xc2\xb7\n\n\n\n\n\n\n6.8 km'"
b'8.3 km',b'4.5 (117 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb91369',"b'OPP TO IIM MAIN GATE, BILEKAHALLI\xc2\xb7\n\n\n\n\n\n\n8.3 km'"
b'5.4 km',b'4.2 (737 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9958\xe2\x82\xb9',"b'Near TATA Motors, Serenity Layout, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.4 km'"
b'8.4 km',b'4.4 (309 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9844\xe2\x82\xb9',"b'Near Laggere bridge, Narasimhaswamy Layout, Bangalore\xc2\xb7\n\n\n\n\n\n\n8.4 km'"
b'2.6 km',b'4.2 (39 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9805\xe2\x82\xb9',"b'Near City Library, Akkipete, Bangalore\xc2\xb7\n\n\n\n\n\n\n2.6 km'"
b'6.2 km',b'4.0 (672 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91014',"b'Near Jayadeva Flyover, BTM Layout, Bangalore\xc2\xb7\n\n\n\n\n\n\n6.2 km'"
b'6.8 km',b'3.8 (39 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91007',"b'Near Kemp Fort , Murugeshpalya, Bangalore\xc2\xb7\n\n\n\n\n\n\n6.8 km'"
b'5.4 km',b'4.2 (339 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91753',"b'West Of Chord Road, Shivajinagar, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.4 km'"
